"COLLEX","O.CXN1","E.CXN1","O.CXN2","E.CXN2","ASSOC","COLL.STR.LOGL","SIGNIF","SHARED"
"stay",21,5.3,29,44.7,"GOING_TO",33.28452,"*****","Y"
"talk",14,3.2,16,26.8,"GOING_TO",25.20166,"*****","Y"
"describe",7,1.2,4,9.8,"GOING_TO",17.93895,"****","Y"
"last",5,0.7,2,6.3,"GOING_TO",14.52816,"***","Y"
"explain",10,2.8,16,23.2,"GOING_TO",13.90719,"***","Y"
"study",8,2.1,12,17.9,"GOING_TO",11.72171,"***","Y"
"stop",8,2.2,13,18.8,"GOING_TO",10.95361,"***","Y"
"monitor",3,0.4,1,3.6,"GOING_TO",9.18696,"**","Y"
"search",3,0.4,1,3.6,"GOING_TO",9.18696,"**","Y"
"eat",4,0.7,3,6.3,"GOING_TO",9.06674,"**","Y"
"send",5,1.2,6,9.8,"GOING_TO",8.6364,"**","Y"
"say",6,1.7,10,14.3,"GOING_TO",8.01607,"**","Y"
"write",6,1.7,10,14.3,"GOING_TO",8.01607,"**","Y"
"compare",5,1.5,9,12.5,"GOING_TO",6.21406,"*","Y"
"retire",3,0.6,3,5.4,"GOING_TO",5.81505,"*","Y"
"do",11,5.3,39,44.7,"GOING_TO",5.46413,"*","Y"
"deal",2,0.3,1,2.7,"GOING_TO",5.3753,"*","Y"
"drink",2,0.3,1,2.7,"GOING_TO",5.3753,"*","Y"
"order",2,0.3,1,2.7,"GOING_TO",5.3753,"*","Y"
"graduate",3,0.7,4,6.3,"GOING_TO",4.79579,"*","Y"
"apply",3,0.9,5,7.1,"GOING_TO",3.99523,"*","Y"
"open",3,0.9,5,7.1,"GOING_TO",3.99523,"*","Y"
"watch",3,0.9,5,7.1,"GOING_TO",3.99523,"*","Y"
"hate",2,0.4,2,3.6,"GOING_TO",3.87328,"*","Y"
"perform",2,0.4,2,3.6,"GOING_TO",3.87328,"*","Y"
"surpass",2,0.4,2,3.6,"GOING_TO",3.87328,"*","Y"
"have",15,28.6,254,240.4,"WILL",9.16425,"**","Y"
"make",4,12.9,117,108.1,"WILL",9.33118,"**","Y"
"find",1,7.8,72,65.2,"WILL",10.24329,"**","Y"
"get",5,17.7,161,148.3,"WILL",14.21608,"***","Y"
"help",2,13.9,129,117.1,"WILL",17.69436,"****","Y"
"be",77,144.9,1285,1217.1,"WILL",60.51181,"*****","Y"
